"Search Results"

"Summary"
"Saved on";"20.06.2018 11.24.59"
"Searched for";"stain"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"204"            
"Number of instance(s) found";"1163"           

"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"23";"odour, no oil stain, moderate bright yellowish white direct fluorescence, fast streaming bright yellow "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"23";"light brown oil stain, uniform bright white to yellow direct fluorescence, instant bright white "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"24";"odour, no oil stain, uniform to patchy bright yellowish white direct fluorescence, fast streaming "

"File name";"Title";"Page";"Search Instance"
"15_5-6__WELL__15-05-06_PB-706-0530.PDF";"";"28";"good odour, brown stain, even orange-yellow fluorescence and instant white cut fluorescence"". No "

"File name";"Title";"Page";"Search Instance"
"15_6-2_R__WELL__15-06-02_PB-706-0725.PDF";"";"57";"pt, l.ron stain wating tr Lignite (mud additive?) NS NS ..1.~.~~"
"15_6-2_R__WELL__15-06-02_PB-706-0725.PDF";"";"71";"sample No vis stain or cut but v. lt yellow-wh cut - fluor. "

"File name";"Title";"Page";"Search Instance"
"15_6-2__WELL__15-06-02_PB-706-0686.PDF";"";"14";"firm with oil stain, good fluorescence, and good cut. Limestone, as above. 10% Lignite "

"File name";"Title";"Page";"Search Instance"
"15_6-3__WELL__15-06-03_PB-706-0799.PDF";"";"40";"•... sli .•... stain., .. no _ ....................... ··-- ....... ?<J.!'"
"15_6-3__WELL__15-06-03_PB-706-0799.PDF";"";"57";"oi= o:LJ stain Po.or fl, or~ weak cu . rOil.staitJ,ed "

"File name";"Title";"Page";"Search Instance"
"15_6-7__WELL__15-06-07_PB-706-0750.PDF";"";"122";"etc.) Comments Oil stain Dry U.V. fluorescence \ {\ CL\ f)\ V • "
"15_6-7__WELL__15-06-07_PB-706-0750.PDF";"";"123";"etc.) Comments Oil stain Dry U. V. fluorescence )\.( r I I """"""' I "
"15_6-7__WELL__15-06-07_PB-706-0750.PDF";"";"124";"etc.) Comments Oil stain No S.l-ln""'--~~ Dry U. V. fluorescence • Cut "

"File name";"Title";"Page";"Search Instance"
"15_6-8_A__WELL__15-06-08-A_PB-706-0751.PDF";"";"103";"etc) Comments Oil Stain None Dry U.V. fluorec:ence Bright yellow Even Mineral "

"File name";"Title";"Page";"Search Instance"
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"120";"etc) Comments Oil Stain None No Show Dry U.V. tluorecence None No Show "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"121";"etc) Comments Oil Stain None No Show Dry U.V. fluorecence Cut U.V. "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"122";"etc) Comments Oil Stain No Shows Dry U.V. fluorecence No Shows Cut U."
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"123";"etc) Comments Oil Stain None None Dry U.V. fluorecence None Cut U.V. "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"124";"etc) Comments Oil Stain None Dry U.V. fluorecence None Cut U.V. fluorecence "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"125";"colourless, occasionally orange stain, very fine to fine grained. b) SAND (70 %): "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"125";"milky, occasionally orange stain, very fine to fine, occasionally medium, residual kaolinitic matrix, dolomitic "
"15_6-8_S__WELL__15-06-08-S_PB-706-0752.PDF";"";"125";"etc) Comments Oil Stain None None No Show Dry U.V. fluorecence None None "

"File name";"Title";"Page";"Search Instance"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"16";"has a blue stain. It is fine to medium grained, moderately sorted, sub- to "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"94";"No - P. STAIN ~~-~~-~-~?... ....... ... ~~--' ... l?.~~.' .... ?:r.~a.!"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"94";"No - P.STAIN Com. coal. ~-~§~--~-~9. ................ ~.SI.r "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"96";"r ... .stain ......................... . ·-~-~~~-~-~.5 __ ............ ~.s.-~ .. "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"96";"_I)_oor stain "

"File name";"Title";"Page";"Search Instance"
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"21";"green and orange stain. Further down the section, the sandgrains get more angular, better "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"63";"srtd, local orng stain, pyrite ip. Coal Sd, a/a, 30% fluor, no cut, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"66";"green + pink stain grains Sst, redish brn, f-med, fri, mod-poor srt, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"68";"green-erg, red stain, f-med, w srt, w rnd, lse Clyst, red-brn, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"69";"green-org, red stain, f-med, w srt, w rnd, lse Clyst, red-brn, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"69";"org or green stain, med v w srt, w rnd Clyst, a/a Lst, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"81";"loc + pink stain grns Sst: redish brn, med, well srtd, subangsubrnd, dol ·"

"File name";"Title";"Page";"Search Instance"
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"68";"GRAIN SIZE i STAIN CUT FLUOR DESCRIPTION MISC. •• si vf I m • "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"69";"GRAIN SIZE !sTAIN CUT FLUOR LITHOLOGIC DESCRIPTION •• si vf f m c "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"70";"H GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. '"")"":)(\~ --- ~~~~ s,i •,"
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"72";"DEPTH GRAIN SIZE STAIN -clir -FLUOR DESCRIPTION MISC. '""1111""7 ·"
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"73";"IH GRAIN SIZE STAIN CUT FCUOR DESCRIPTION MISC. ""'~ s,i v,l ! "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"74";"R 1~ $ STAIN ~~~ S F G SHOWS CUT P F G FLUOR "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"75";"DEPTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. 'lAA'7 .· ·"
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"76";"SIZE l~j STAIN CUT FLUOR DESCRIPTION MISC. ·~ •i •,' ! "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"77";"LITHOLOGY I i STAIN SHOWS <D LITHOLOGIC DEPTH GRAIN SIZE CUT FLUOR DESCRIPTION "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"80";"GRAIN SIZE : STAIN CUT FLUOR DESCRIPTION MISC. ........... IIIU si vf I m "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"81";"LITHOLOGY I ! STAIN SHOWS <D LITHOLOGIC DEPTH G... RAIN SIZE CUT FLUOR "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"82";".. -'IJ STAIN I;;~ s F G SHOWS CUT P F G fLU("
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"84";"GRAIN SIZE ~ STAIN CUT FLUOR 'I' DESCRIPTION MISC. 111u si vf I "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"85";"GRAIN SIZE ~ STAIN CUT FLUOR 'I' DESCRIPTION MISC. •• si vi I "
"15_9-11__WELL__15-09-11_PB-706-0085.PDF";"";"86";"LITHOLOGY I ~ STAIN SHOWS CD LITHOLOGIC DEPTH GRAIN SIZE CUT FLUOR DESCRIPTION MISC. "

"File name";"Title";"Page";"Search Instance"
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"26";"lithic grns, green stain grns, topaz? shell frag, pyr, bio mic, crs grns of "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"66";"med, ang, red stain, grns abun pyr Clyst, gry-lt gry, v sft, v "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"67";"sucrosic, non vis stain, bright yel fluor Sh, med gry, hd, fiss, sl calc, "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"67";"Sd, md, red stain, med, well rnd good fluor good cut wh-ye1 stream "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"69";"med, rnd, red stain Sh, a/a Sh, brn, a/a Clyst, lt gry, "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"70";"subang, occ red stain Sh, a/a Lst, a/a Sh/Sltst, a/a "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"81";"no vi oil stain,dul flu w/brn lam paper Sh: a/a but "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"108";"GRAIN SIZE : STAIN CUT FLUOR DESCRIPTION MISC. J3 fi 4 4 mu 11 "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"109";"GRAIN SIZE ! STAIN CUT fLUOR DESCRIPTION MISC. mu ·~ vL f '? "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"110";"GRAIN SIZE ~ STAIN CUT FLUOR DESCRIPTION MISC. mu SI V~ t ']' ~ "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"111";"GRAIN SIZE ~~~ STAIN CUT Fl!JOR_ DESCRIPTION MISC. m~ so v1f "

"File name";"Title";"Page";"Search Instance"
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"26";"lithic grns, green stain grns, topaz? shell frag, pyr, bio mic, crs grns of "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"66";"med, ang, red stain, grns abun pyr Clyst, gry-lt gry, v sft, v "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"67";"sucrosic, non vis stain, bright yel fluor Sh, med gry, hd, fiss, sl calc, "
