"Search Results"

"Summary"
"Saved on";"11.06.2018 08.18.55"
"Searched for";"fluor"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"325"            
"Number of instance(s) found";"10362"          

"File name";"Title";"Page";"Search Instance"
"2_7-23_S_COMPLETION_REPORT_87363_02-07-23-S_PB-706-0642.pdf";"";"70";"based mud. Similarly fluorescence was of oil based mud filtrate • • 50.92.D\"

"File name";"Title";"Page";"Search Instance"
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"45";"and speckled. The fluorescence was dull yellow and a slow to moderately fast blooming "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"45";"dull yellow orange fluorescence with a poor slow yellow blooming cut. The limestone in "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"45";"dark claystone. The fluorescence was dull yellow orange with a slow yellow streaming cut. "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"46";"a dull yellow fluorescence and a slow streaming white cut. The limestone was light "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"46";"dull yellow mineral fluorescence and a slow streaming pale yellow cut. Dolomite occurred as "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"46";"to dull yellow fluorescence with no cut. The siltstone was dusky brown, occasionally grey, "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"46";"dull yellow white fluorescence and occasionally a bright yellow gold fluorescence, with a slow "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"46";"bright yellow gold fluorescence, with a slow to moderately fast yellow white milky cut. "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"a dull orange fluorescence, occasionally with a bright blue white blooming or very slow "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"pale yellow gold fluorescence with an occasionally slow blue white streaming cut was seen. "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"a yellow orange fluorescence accompanied by a slow blooming or a very slow to "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"quartz grains. The fluorescence was dull yellow gold in color with a slow blue "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"claystone had no fluorescence, but gave a slow blue white blooming cut and a "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"47";"an orange yellow fluorescence. It gave a very fast blue white diffuse cut, a "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"to light yellow fluorescence with a slow crush cut giving a weak pale yellow "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"weak pale yellow fluorescence. The marl was dark brown, brown black, moderately firm, occasionally "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"parts with no fluorescence or cut. The limestone was white to creamy white, light "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"to claystone. The fluorescence was pale yellow to dull gold orange and where a "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"showed dull yellow fluorescence and occasionally bright yellow fast streaming cut. Descriptions from conventional "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"48";"down section. No fluorescence was observed but a very slow, occasionally moderately fast, streaming "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"49";"magnetite (?). The fluorescence was brown and a crush cut was obtained with a "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"49";"pale yellow mineral fluorescence. The limestone cuttings were white to cream, buff, firm to "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"49";"A yellow brown fluorescence was seen along with a crush cut with a pale "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"49";"a pale yellow fluorescence . 50.92.ki\MS0701 "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"50";"moderately bright yellow fluorescence on mud. MUDSTONE: olive-black, moderately hard, blocky to subfissile, "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"50";"patchy dull yellow fluorescence on mud. (1): B = Biostratigraphical G = Geochemical "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"52";"patchy dull yellow fluorescence on mud. MU OS TONE: as 13614' ( f r "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"52";"patchy bright yellow fluorescence on mud. MUDSTONE: olive-black, moderately hard, subfissile to fissile, "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"52";"patchy bright yellow fluorescence on mud . MUDSTONE: dark grey, moderately hard to hard, "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"52";"speckled dull orange fluorescence. "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"53";"moderately bright orange fluorescence. MUDSTONE: dark grey, sandy in part, some bleeding gas. MUDSTONE: "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"57";"bright light yellow fluorescence. No direct yellow cut 50.92.ki\MS0701 fluorescence. fluorescence. Slow "
"2_7-24_COMPLETION_REPORT_87342_02-07-24_PB-706-0764.pdf";"";"57";"50.92.ki\MS0701 fluorescence. fluorescence. Slow cut with pale "

"File name";"Title";"Page";"Search Instance"
"2_7-25_S_COMPLETION_REPORT_87362_02-07-25-S_PB-706-0643.pdf";"";"51";"moderate yellow-white fluorescence with a pale blue-yellow slow to moderately fast blooming "
"2_7-25_S_COMPLETION_REPORT_87362_02-07-25-S_PB-706-0643.pdf";"";"52";"- white dull fluorescence together with a moderate milky white, slightly blooming cut. Shows "
"2_7-25_S_COMPLETION_REPORT_87362_02-07-25-S_PB-706-0643.pdf";"";"52";"very light yellow fluorescence with a slow streaming cut at the uppermost depth and "
"2_7-25_S_COMPLETION_REPORT_87362_02-07-25-S_PB-706-0643.pdf";"";"52";"a dull yellow fluorescence with yellow slow streaming cut at the lower depth. SECTION "

"File name";"Title";"Page";"Search Instance"
"2_7-26_S_COMPLETION_REPORT_87361_02-07-26-S_PB-706-0640.pdf";"";"56";"to bright yellow fluorescence accompanied by oil in the mud. The cut was blooming "
"2_7-26_S_COMPLETION_REPORT_87361_02-07-26-S_PB-706-0640.pdf";"";"58";"seen with 35% fluorescence in marls/limestones from 10208 ft and rapidly increasing to "
"2_7-26_S_COMPLETION_REPORT_87361_02-07-26-S_PB-706-0640.pdf";"";"58";"with bright yellow fluorescence and yellow fast streaming cut, were seen from 10250 to "
"2_7-26_S_COMPLETION_REPORT_87361_02-07-26-S_PB-706-0640.pdf";"";"58";"with dull yellow fluorescence and hazy crushed cut. From 11900 to 12580 ft MD "
"2_7-26_S_COMPLETION_REPORT_87361_02-07-26-S_PB-706-0640.pdf";"";"58";"with a dull fluorescence were seen. The cut was pale blue yellow and slightly "

"File name";"Title";"Page";"Search Instance"
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"30";"Bright yellow-brown fluorescence, occasionally dull yellow, and with white-blue streaming cut were "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"30";"The percentage of fluorescence in the sample ranged from trace to 20%. GAS: The "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"31";"to light brown fluorescence, and a bright milky white to light yellow slightly streaming "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"31";"The percentage of fluorescence ranged from 70% in the top of the section decreasing "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"33";"to yellow white fluorescence, a slow streaming pale yellow to milky white cut fluorescence "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"33";"milky white cut fluorescence and a pale brown residue were seen in the intervals "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"33";"The percentage of fluorescence throughout the section ranged from trace to 80%. GAS: A "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"34";"yellow or whitish fluorescence were observed. No cut, or crush cut was seen. The "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"34";"The percentage of fluorescence decreased from 80% to 50% with depth with only traces "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"36";"orange to gold fluorescence with no cut. GAS: The following gas peaks occurred during "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"37";"to dull gold fluorescence and with a white or yellow, slow or very slow "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"297";"YEllOW TO GOlD FLUORESCENCE FRCJ4 THE ENTIRE SAMPlE A FAST STREAMING liGHT BlUE CUT "
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"297";"MilKY WHITE CUT FlUORESCENCE. A LIGHT BROWN TO VERY LIGHT BROWN RESIDUAl RING. 10455.00-"
"2_7-27_S_COMPLETION_REPORT_85210_02-07-27-S_PB-706-0639.pdf";"";"298";"YELLI)J CUT FLUORESCENCE. 10n4.00·10745 .oo 21.00 WHITE TO OFF·"

"File name";"Title";"Page";"Search Instance"
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"32";"grey to gold fluorescence and slow, yellow streaming cut fluorescence were observed from claystones "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"32";"yellow streaming cut fluorescence were observed from claystones at 4950 ft (1508.8 m) "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"33";"dull grey green fluorescence, slow-fast bright yellow-white steaming cut fluorescence, gold-amber "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"33";"white steaming cut fluorescence, gold-amber visible residual, and locally a strong oil smell. "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"33";"yellowish to green fluorescence, slow streaming yellow cut fluorescence, and pale straw visible residual "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"33";"streaming yellow cut fluorescence, and pale straw visible residual ring. Depositional Environment: A marine, "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"34";"bright gold-yellow fluorescence, slow gold-yellow cut fluorescence, and pale straw visible residual "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"34";"gold-yellow cut fluorescence, and pale straw visible residual ring. Sele Fonnation: 8996-9134 "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"35";"bright yellow-white fluorescence, blue milkywhite moderately streaming cut fluorescence, pale green-yellow-brown "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"35";"moderately streaming cut fluorescence, pale green-yellow-brown visible residual. Tor Formation: 9508-9520 "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"36";"yielding, moderate yellow fluorescence, slow streaming-bloom blue-white cut fluorescence, pale green-yellow-"
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"36";"blue-white cut fluorescence, pale green-yellow-brown visible residual ring. Poor oil shows "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"36";"dull yellow-brown fluorescence with weak diffuse cut fluorescence. Trace oil show occurred from "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"36";"weak diffuse cut fluorescence. Trace oil show occurred from 9965-1()()()() ft (3037.4-"
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"36";"m) with, trace fluorescence and very pale blue-white cut. Blodoks Formation: 10141-10158 "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"38";"as, dull yellow fluorescence, slow to blooming pale violet cut fluorescence, very light greenish-"
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"38";"pale violet cut fluorescence, very light greenish-yellow visible residual ring. Dej)Ositional Environment: "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"dull yellow-brown fluorescence, good cream-yellow streaming cut fluorescence, dark yellowamber visible residual "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"yellow streaming cut fluorescence, dark yellowamber visible residual ring. Sandstone shows below 11276 ft "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"dull pale yellow fluorescence, weak yellow-white streaming cut fluorescence and brown visual residual "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"white streaming cut fluorescence and brown visual residual ring. De.positional Environment: Marine, mid "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"dominantly dull yellow fluorescence, a pale bright white streaming cut fluorescence and a medium "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"40";"white streaming cut fluorescence and a medium brown visible residual ring. Conventional Core No. "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"41";"Formation, no direct fluorescence was observed. However a fairly slow streaming-blooming milky white "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"41";"milky white cut fluorescence and a, faint amber visible residual ring were noted. De."
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"1: Claystone: No fluorescence, very weak streaming, moderately bright white cut fluorescence, trace brown "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"bright white cut fluorescence, trace brown ring residue. Core No. 2: Sandstone: Dull to "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"bright pale yellow fluorescence, weak streaming, moderately poor bright white cut fluorescence, poor brown "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"bright white cut fluorescence, poor brown ring residue. Claystone: No Fluorescence, poor streaming, moderately "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"residue. Claystone: No Fluorescence, poor streaming, moderately bright white cut fluorescence, trace brown ring "
"2_7-28_COMPLETION_REPORT_87360_02-07-28_PB-706-0637.pdf";"";"64";"bright white cut fluorescence, trace brown ring residue . 50.93.ki.Eldfisk.RPT - "

"File name";"Title";"Page";"Search Instance"
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"32";"grey to gold fluorescence and slow, yellow streaming cut fluorescence were observed from claystones "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"32";"yellow streaming cut fluorescence were observed from claystones at 4950 ft (1508.8 m) "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"33";"dull grey green fluorescence, slow-fast bright yellow-white steaming cut fluorescence, gold-amber "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"33";"white steaming cut fluorescence, gold-amber visible residual, and locally a strong oil smell. "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"33";"yellowish to green fluorescence, slow streaming yellow cut fluorescence, and pale straw visible residual "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"33";"streaming yellow cut fluorescence, and pale straw visible residual ring. Depositional Environment: A marine, "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"34";"bright gold-yellow fluorescence, slow gold-yellow cut fluorescence, and pale straw visible residual "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"34";"gold-yellow cut fluorescence, and pale straw visible residual ring. Sele Fonnation: 8996-9134 "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"35";"bright yellow-white fluorescence, blue milkywhite moderately streaming cut fluorescence, pale green-yellow-brown "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"35";"moderately streaming cut fluorescence, pale green-yellow-brown visible residual. Tor Formation: 9508-9520 "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"36";"yielding, moderate yellow fluorescence, slow streaming-bloom blue-white cut fluorescence, pale green-yellow-"
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"36";"blue-white cut fluorescence, pale green-yellow-brown visible residual ring. Poor oil shows "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"36";"dull yellow-brown fluorescence with weak diffuse cut fluorescence. Trace oil show occurred from "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"36";"weak diffuse cut fluorescence. Trace oil show occurred from 9965-1()()()() ft (3037.4-"
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"36";"m) with, trace fluorescence and very pale blue-white cut. Blodoks Formation: 10141-10158 "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"38";"as, dull yellow fluorescence, slow to blooming pale violet cut fluorescence, very light greenish-"
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"38";"pale violet cut fluorescence, very light greenish-yellow visible residual ring. Dej)Ositional Environment: "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"dull yellow-brown fluorescence, good cream-yellow streaming cut fluorescence, dark yellowamber visible residual "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"yellow streaming cut fluorescence, dark yellowamber visible residual ring. Sandstone shows below 11276 ft "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"dull pale yellow fluorescence, weak yellow-white streaming cut fluorescence and brown visual residual "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"white streaming cut fluorescence and brown visual residual ring. De.positional Environment: Marine, mid "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"dominantly dull yellow fluorescence, a pale bright white streaming cut fluorescence and a medium "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"40";"white streaming cut fluorescence and a medium brown visible residual ring. Conventional Core No. "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"41";"Formation, no direct fluorescence was observed. However a fairly slow streaming-blooming milky white "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"41";"milky white cut fluorescence and a, faint amber visible residual ring were noted. De."
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"1: Claystone: No fluorescence, very weak streaming, moderately bright white cut fluorescence, trace brown "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"bright white cut fluorescence, trace brown ring residue. Core No. 2: Sandstone: Dull to "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"bright pale yellow fluorescence, weak streaming, moderately poor bright white cut fluorescence, poor brown "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"bright white cut fluorescence, poor brown ring residue. Claystone: No Fluorescence, poor streaming, moderately "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"residue. Claystone: No Fluorescence, poor streaming, moderately bright white cut fluorescence, trace brown ring "
"2_7-28__WELL__02-07-28_PB-706-0637.PDF";"";"64";"bright white cut fluorescence, trace brown ring residue . 50.93.ki.Eldfisk.RPT - "

"File name";"Title";"Page";"Search Instance"
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"20";"(mBRTDD) Composition Fluorescence Fluorescence (%) 114.0-3135.0 Nordland Gp TG: 0.02 - 0.316 "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"20";"C4: 0.001- 0.0046 fluorescence. No CS: 0.0003- 0.0007 residual colour 4465.5-4588 JU2 TG: "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"20";"0.04 - 3.24 Fluorescences seen Fast blooming (Farsund Fm) Cl: 0.052- 2.54 in "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"20";"C5: 0.0002- 0.0013 fluorescence. No residual colour. "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"21";"CS: Tr OllShows Fluorescence None None Faint blue, patchy & pinpoint seen to 4688m "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"21";"None None Cut Fluorescence Faint-moderate slow blooming blue yellow-blue white cut. Bright "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"21";"blue white residual fluorescence. No residual colour None To 4688m: Slow to moderate streamingblooming "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"21";"blue white residual fluorescence. Slight brown residual colour Seen in some mudstones to 4790m "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"21";"Bright cream residual fluorescence. No residual colour "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"22";"miSRT Show Type Fluor CutGu Oil Bleed on Stain Odour Deecrlptlon I I 4353.5 "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"22";"Cuttinas Show No dirfluor None V. slow yel Wh cut None SUght-Moderate OH "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"22";"Show No dir fluor None Wk strmg yel wh cut None None Weak OD"
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"22";"Show No dir fluor None Slow diffuse blu vel cut None None on shows "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"22";"Show No dlr fluor None Fast br strmg crm cut None None on shows "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"24";"mBRT /Stain Fluor Cut Cut Fluor Col gy-gy -gran, m-vc, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"24";"Fluor Cut Cut Fluor Col gy-gy -gran, m-vc, qtz Wk- Fnt "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"28";"mBRT /Stain Fluor Cut Cut Fluor Col :m gy, -gran, , "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"28";"Fluor Cut Cut Fluor Col :m gy, -gran, , common Fnt Mod "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"blu in ten- fluor blu vJl sity • pkst-grst, silic cmt, occ qtz "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"loc dissem pyr, fluor occ tr kaol, common glauc, lith frag, in common blk "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"transp, subang-rnd, fluor hard) gen mod sph, pkst -grst, v p sort, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"dull brn mineral fluor i/p. gy-gy -gran, gy None No V "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"sort, pkst, g fluor diff blu vJ1 supported, abnd dk gy argil/slt mtx, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"gd blu cut fluor cut calc cmt, loc silic cmt i/p, rr qtz "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"29";"blu wh mineral fluor. • -24-"
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"brn pinpt bri fluor blu fluor blk argiV slt mtx, occ qtz overgrowths, v "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"bri fluor blu fluor blk argiV slt mtx, occ qtz overgrowths, v sl vdl "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"dull orng mineral fluor c, , gen Bri V clss, loc transl, subang-ang, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"occ glauc, dissem fluor res id col & fluor xln pyr, blk carb streaks "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"id col & fluor xln pyr, blk carb streaks i/p, non-v p "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"\\h cut fluor cut res id mtx, g supported, loc mtx supported, hd, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"supported, hd, tr fluor kaol, common glauc, dissem & xln pyr, tr muse mic, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"pyr cmt, patchy fluor bri fluor blu brn blk argiVslt mtx, common carb/coaly "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"30";"patchy fluor bri fluor blu brn blk argiVslt mtx, common carb/coaly cut streaks "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"31";"mBRT /Stain Fluor Cut Cut Fluor Col 4690 SLTST: gy blk-brn blk, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"31";"Fluor Cut Cut Fluor Col 4690 SLTST: gy blk-brn blk, hd, blky brk, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"32";"o /Stain Fluor Cut Cut Fluor Col "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"32";"Fluor Cut Cut Fluor Col "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"33";"mBRT /Stain Fluor Cut Cut Pluor Col 4860 SST: m lt-m gy, "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"33";"orng brn mineral fluor, no shows 4862.26 SST: v lt-m lt gy, predom "
"2_7-29_COMPLETION_REPORT_87098_02-07-29_PB-706-0592.pdf";"";"34";"mBRT /Stain Fluor Cut Cut Jlluor Col 4868 SST: m lt-m gy, "

"File name";"Title";"Page";"Search Instance"
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"20";"(mBRTDD) Composition Fluorescence Fluorescence (%) 114.0-3135.0 Nordland Gp TG: 0.02 - 0.316 "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"20";"C4: 0.001- 0.0046 fluorescence. No CS: 0.0003- 0.0007 residual colour 4465.5-4588 JU2 TG: "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"20";"0.04 - 3.24 Fluorescences seen Fast blooming (Farsund Fm) Cl: 0.052- 2.54 in "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"20";"C5: 0.0002- 0.0013 fluorescence. No residual colour. "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"21";"CS: Tr OllShows Fluorescence None None Faint blue, patchy & pinpoint seen to 4688m "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"21";"None None Cut Fluorescence Faint-moderate slow blooming blue yellow-blue white cut. Bright "
"2_7-29__WELL__02-07-29_PB-706-0592.PDF";"";"21";"blue white residual fluorescence. No residual colour None To 4688m: Slow to moderate streamingblooming "
