"Search Results"

"Summary"
"Saved on";"11.06.2018 08.18.55"
"Searched for";"fluor"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"325"            
"Number of instance(s) found";"10362"          

"File name";"Title";"Page";"Search Instance"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"49";"______________________ yel min fluor tr sh gy-blue gy, subfiss, firm, non ea le "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"50";"dull yel min fluor 11 11 11 11 90 --ls-~;;_--------------------------10 ---------~---------------- tr "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"51";"arg, ang, chalky fluor 10 ~-m-a-rl,- l-t- q-y,- s-"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"52";"arg, when hd, fluor ~-a-ng-, -o-cc- c-ha-lk-y-, "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"53";"-~~---------------------------- wh min fluor tr calcite, clr, xln, med hd ls dull yel fluor "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"53";"ls dull yel fluor 2593 50 -15a;a _________________________ sh poss cavings 50 "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"73";"NO SHOWS no fluor slow streaming wh cut in sltst NO SHOWS 3097 95 "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"73";"_ _ no fluorescence tr a/a, sltst, not stained no cut ------------------------------- 3100 "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"73";"sh, a/a fluoresc.? ------------------------------- tr --~a--------------------------- 3115 95 . __ sh'-g:"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"74";"______________ slty, calc fluoresc. ? tr sh, brick-red, sft-firm, calc ~-ls-, "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"75";"-~a---------------------------- no fluor, but slow to mod 3196 -~~---------------------------- streaming yel-wh cut "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"76";"when calc mnrl fluor _Ldo~~t~~ed-~~el~~~~~d~el~~d~swang- __ "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"77";"do~~a----------------------- weak fluoresc. tr pyr 3244 60 -~h~~~------------------------- V slow str pale "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"94";"SIZE STAIN CUT FLUOR DESCRIPTION MISC. • si vf l ., c Vf 1~. "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"95";"; STAIN CUT FLUOR DESCRIPTION MISC. ·~ •: •,• ! ~ ~ ·"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"96";"C lJ T FLUOR DESCRIPTION MISC. 1 l ~ c ·~ ~~ S "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"97";"S-TAIN CUT FLUOR DESCRIPTION MISC. ·~ s,i •,' l '!' c "

"File name";"Title";"Page";"Search Instance"
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"112";"Glau lt yel fluor CORE NO 1 100 Tr Clyst: lt gry, grn, brn, "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"114";"wh-lt yel fluor, lt yel crush cut stronger and brighter than earlier, also "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"114";"wh yel min fluor, no cut page 24 of 43 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"117";"sl darker yel fluor Tr a/a bright 2652.5 a/a a/a 2655 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"117";"a/a yel fluor yel cloudy crush cut 2657.4 a/a a/a 2660 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"118";"Dull yell Min fluor no cut heavily contam with cmt a/a a/a "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"124";"weak dull yel fluor in sst and slty prts of clyst dull yel fluor "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"124";"clyst dull yel fluor No shows 80 % of samples cavings MWS-log showing "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"135";"Shows. etc. No fluor No cut "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"136";"fnn-Ired No fluor - M - hd, sl-v slty, nostly No cut "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"137";"crystal ncxlls, bright fluor I I I prtly sl xln, hd slow-fast I "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"138";"arg, occ fractures fluor w I calc crystals (mineral) - • I 2500 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"139";"arg, occ fractures fluor w/calc crystals (mineralJ . - I I Sh: "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"140";"arg, occ fractures fluor I I w/calc crystals (mineral) . Sh: lt "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"141";"strong pale yel fluor, fast wh cut fluor Non-v weak pale yel fluor "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"141";"fast wh cut fluor Non-v weak pale yel fluor large wood fragrrent "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"141";"weak pale yel fluor large wood fragrrent "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"142";"rnlky wh cut fluor Oily srrell, lt brn stain I strong pale tyel fluor, "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"142";"strong pale tyel fluor, fast-inst stnn rnlky wh ,...nt- f'l1 nr "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"143";"2914.4 m No fluor or cut fluor "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"143";"fluor or cut fluor "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"144";"of 4 No fluor or cut fluor calc crntd shale lam "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"144";"fluor or cut fluor calc crntd shale lam "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"micromic REMARKS no fluor, slo stream blue w cut fluor a/a a/a "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"blue w cut fluor a/a a/a no fluor, v weak slow stream "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"a/a no fluor, v weak slow stream blue w cut fluor a/a "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"blue w cut fluor a/a a/a a/a No fluor, v weak "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"a/a No fluor, v weak slow stream blue, wh cut fluor page 1 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"149";"blue, wh cut fluor page 1 of 4 "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"150";"cmt? REMARKS no fluor, wea: slow stream blue wh cut fluor Sst: lt gry, "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"150";"blue wh cut fluor Sst: lt gry, clr-transluc qtz, vfn-fn, good srtd, "

"File name";"Title";"Page";"Search Instance"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"100";"No shows, 1st fluor only No shows a/a Spot sample Sample from desilter "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"101";"No shows Hin fluor from Lst Vfn-fn sd in sample from mud cleaner "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"111";"bri yel min, fluor from Lst/Dol, no cut a/a a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"112";"sl micromic min. fluor from 25 Clyst: gry rd, dk rd brn, sft-frm, "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"113";"bri yel min, fluor from Lst/Dol, no cut a/a a/a a/"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"115";"a/a Hin fluor, no cut "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"116";"Showsi.Remarks Hin fluor Hin fluor "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"116";"Hin fluor Hin fluor "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"118";".Remarks Hin fluor "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"119";"Showsl!rRemarks Min fluor "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"120";"§rRemarks Hin fluor 2696 100 Lst/Chk: pk, pk gry, wh, off wh, "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"121";"microxln, mierosue Hin fluor Tr 100 Tr 100 Tr 100 Clyst: lt brn, gry "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"125";"§sRemarks Hin fluor "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"126";"No shows No fluor, fast strmg wh cut No fluor. slow strmg yel cut "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"126";"wh cut No fluor. slow strmg yel cut "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"127";"Shows~Remarks No fluor, tr sl strmg yel cut w/ fa1nt dull orng res "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"128";"v dull yel fluor, sl strmg v dull yel-orng yel cut almost no "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"128";"dull yel org fluor, tr sl strmg v dull yel-orng yel cut No "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"129";"dull yel org fluor, tr sl strmg v dull yel-orng yel cut No "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"130";"v dull yel fluor, sl strmg v dull orng cut No res a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"130";"v dull yel fluor, no cut a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"131";"subang, lse yel fluor,no cut 1 0 Sst: clr-mlky qtz. med-crs. "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"131";"Sd: a/a Fluor a/a • 15 Sst: occ calc, else a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"131";"Sd: a/a Fluor a/a, • 1 0 Sst: a/a no cut, "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"131";"Sd: a/a Fluor a/a, 20 !>st: clr-mlky qtz, fn-m€"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"131";"Sd: a/a Fluor a/a, 5 S5t: no cut or sl 5 Lst: "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"132";"§.Remarks Fluor a/a, no cut or sl wh-yel strmg cut "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"134";"oll oven orng fluor, v 11 stn.g ltl wtl cut No rea ring, "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"136";"clyat 1No fluor, .·.·.·M·.-.-.-~·"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"136";"carb i/p, fluor, prtly carb frgs, nOft calc, else a/a r---M- "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"136";"sltlt, •1•• fluor a/a, 1--·-··- ··"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"137";"2111.11 • t1o fluor, tiOd ltnag yel cut, faiat ttull yel rei a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"137";"tlull even yel fluor, inlt yel wh then 11 atrMt yel cut, IIOd org "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"137";"wen taull yel fluor, else a/a a/a 1Clyell wl I M "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"138";".tull rel fluor • ifttt rel wtl, theft 11 tt~ yel t. -"
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"139";"ftt, r•l fluor, 0 0 :.. :.. :.. 0 :.. 0 :.. 0 "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"140";"Y dull orng fluor. yd ... dk brn res a/a inst c:ut. "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"140";"ut. ring No fluor. else a/a a/a a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"141";"oil 1tn No fluor, iftst ye1- orq yel cut, dull brn res ., . "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"142";"Patchy dull yel fluor Tr of dull yel pinpoint fluor a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"142";"dull yel pinpoint fluor a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"143";"oven dull yel fluor, .odfut str-e 11 yel cut 1 .. 1t "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"143";"1t no res Fluor a/a, i.n1t yel, then 11 str-.g orngorng "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"143";"dull brn res Fluor 1/a, -fist str-.g dull yel cut, 1!-."
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"143";"dull 1 pinpoint fluor, else /a 1/a 1Patchy-even v dull "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"143";"v dull yel fluor, else a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"144";"v dull yel fluor, ttl'lll 11 yel cut, al•st ftO res ., . "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"145";"v 11 yel fluor, 11 atr~tg dull yel cut Fluor a/a, v "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"145";"dull yel cut Fluor a/a, v 11 blOMg V yel cut No rea "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"146";"v dull yel fluor. 11 •tr-.-bla.g dull yel cut. a~at "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"147";"Dull yel patchy fluor V tl ttlCMII V dull yel fluo.r, no rea "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"149";"sl frl, Hin fluor cryptoxln w/grar• text, sl ilf9 1 7 2785 ., "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"150";"dk spks, Mln. fluor poss carb frag, lac sl gran, microl\lr. ::'0 "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"150";"sl lam No fluor • w/chky clasts, calc, lut1t1c, cryptoxln 23 2390 30 "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"151";"dull gnsh yE'l fluor, sl strmg dull bl cut a/a Fluur ;./a, "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"151";"Dull gnsh yel fluor, almost no cut/res a/a a/a a/a "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"152";"Dull gnsh yel fluor, almost no cut/res ~st: mud hd. mod No "
"15_12-5__WELL__15-12-05_PB-706-0121.PDF";"";"152";"a Dull yel fluor, almost no cut/ res "

"File name";"Title";"Page";"Search Instance"
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"22";"dull orange yellow fluorescence and weak cloudy to slow streaming yellow white cut florescence "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"131";"- fiss, No fluor, slow, strm, micromic, occ w/dissem pyr, carb, sl calc "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"132";"additives, etc No fluor, slow • mod strm yel wh cut fluor Cmt & "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"132";"yel wh cut fluor Cmt & tr metal contam Tr shows a/a Sst "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"132";"a/a No fluor, tr weak slow stream yel cut from clyst a/a "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"133";"v micropyr, No fluor, tr weak micromic i/p, pred non calc slow stream "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"138";"arg. Clr yel fluor, no cut 17 2432 12 CHALK: 8/8 a/a "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"138";"a Clr yel fluor, v weak yel cut 9 2600 15 CHALK: a/a "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"138";"xln, suer, No fluor, no cut microglau i/p. 7 2705 23 LST v "
